id	filename	md5	size	state
95bcf26c-2f32-498a-a8c4-fa85fc78f89e	TCGA-E2-A15A-01Z-00-DX1.B9D22735-FE9F-46D9-84E6-0C71A1BF84D6.svs	6516a38abf7e29aaad31e78c1e56c710	1693631287	released
3985ea64-d68f-4539-a4d3-65ff4a7b98be	TCGA-EW-A2FW-01Z-00-DX1.4F948681-81F3-46C5-A4E8-FDE8A4116F7A.svs	a7bf055b414c271d24b59464940d9812	1692370443	released
ca1f5e9c-2943-4cfd-829b-ad7713f49fa0	TCGA-AR-A0TU-01Z-00-DX1.2CBBDDAB-C1DD-4205-A555-431542F9C069.svs	3434b8fc245f2942d08f75c451afd4dc	1690981359	released
1bac9786-4d56-4f08-9792-ed131b398907	TCGA-D8-A1JH-01Z-00-DX1.4A4F2502-612C-421D-9F64-444BF2C85620.svs	1be1a65f73d1fe7f4021897ccd9027c2	1680116629	released
8af6db2e-08a9-4450-a8a2-b896288cf826	TCGA-BH-A5J0-01Z-00-DX1.73CFBC85-8449-48FF-86F8-D4D49A90498B.svs	e44c8bd9df2223a8162475d491a3d423	1675201141	released
fb9961aa-e11f-4f75-bc5a-990e9302ae6e	TCGA-BH-A202-01Z-00-DX1.8CECDB74-5E6F-4CE8-B52C-A89E574F38FB.svs	7817d7ead479f8519a925f4e2c5c8326	1665591999	released
e2e311be-a900-4214-a604-0e65415444f2	TCGA-C8-A12U-01Z-00-DX1.8E90FC9F-630E-4611-A5D2-D6F11DBE81EF.svs	9e840bfe35cb109dd049cdd3b7df9df0	1657634449	released
312830d8-fc88-4968-9176-e2240fd4d2d9	TCGA-A2-A04V-01Z-00-DX1.EB430DDB-8FE9-4302-8829-53DBAD09E79F.svs	34c2b5df6a6fbece588865fc26844bf4	1642702571	released
c0a952a1-88ea-43ac-a6db-4f40a5684630	TCGA-BH-A42U-01Z-00-DX1.130D060A-3DD8-407E-B8B0-EBBF743491AE.svs	c55e51ca263bc0d85da1b25aa60c86dd	1640645063	released
26c329ee-1a8e-4905-96db-8d7510015822	TCGA-BH-A0BF-01Z-00-DX1.934DF984-9054-4B20-B85B-9CF94B8DC3D4.svs	1e0e82d5c535b35b1f33ebbbb41d854f	1638898879	released
5713fedf-aaff-4973-93f6-6238d2f1b2a4	TCGA-D8-A1XT-01Z-00-DX1.9E4DEEEB-AB0A-45F6-A69B-65B3E6F22D46.svs	f018f8c8bacfeef3a8b1c0bf6a602f7b	1633022985	released
626bfe89-c9c8-4ebf-97c9-56b1bd27f22d	TCGA-E2-A107-01Z-00-DX1.3BFCCC24-7286-488D-A9E9-98E498AD0767.svs	2340a4363e53a0f8e46584b4a3020c82	1623786301	released
5ab9bb78-d1ad-430e-9603-ce88d4352a92	TCGA-B6-A0WV-01Z-00-DX1.A8B9E114-A8CF-4389-B47C-2E1B842F7FF9.svs	d280e9d7b94d3e20b5302c9af3aad0d9	1618966765	released
63858a48-c99e-4080-97f0-419f662ef195	TCGA-D8-A1XD-01Z-00-DX1.E500D561-1F49-4F08-99AE-E8345F21B406.svs	a403d4927663316fcbbf234451994289	1614944093	released
73662afd-f0c0-4a23-bb18-a72f6ab93c70	TCGA-BH-A18U-01Z-00-DX1.63940315-59BC-462B-87A8-2BBB33C9503E.svs	61750382812c105e8fdb1fd027af739f	1613632345	released
8b523360-eac2-4e93-aa58-5f109bbb6820	TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839.svs	6b4bb46257e4cef8d58720320e5b3ec6	1611920503	released
b3f4c01e-4068-45bc-8a7f-e03683f12d42	TCGA-E2-A10E-01Z-00-DX1.C45030A9-CC1A-4BA7-8F62-872619C5AD5E.svs	4ce4a5509952c214fc50e877d58d2827	1605224769	released
ee16bb4a-f504-4169-ae30-71e9509decc4	TCGA-D8-A1XL-01Z-00-DX2.FDE2C80D-5DC4-4743-A180-C5AFC5BB0BE2.svs	e5409f5fa38eed943354f4c61bdca98e	1596060259	released
ddcb21eb-b039-42b6-9f4e-12e36ad9040e	TCGA-EW-A1PE-01Z-00-DX1.8EF56824-0B37-4AD1-AF3E-7988FCBEF773.svs	9260ce1059721a1ddd9edf4b9e77d03b	1588066971	released
979d3b3b-2196-47c0-af7e-112aa17cb95a	TCGA-BH-A1FR-01Z-00-DX1.03E51FCD-DDF2-4924-827D-85A02280C9C7.svs	64d46d7b83a9ee1cf9a82aa4886cba13	1575848231	released
1c8e9a67-912a-4c69-965a-6b2f0e71eb30	TCGA-A2-A0CV-01Z-00-DX1.B02D017A-61CD-45FE-BB31-705CD127DDAB.svs	15d7c9e56889b0d30227f3e95bd06433	1572066783	released
ed2a1195-cf9f-443c-8d44-9966f576608b	TCGA-BH-A0H5-01Z-00-DX1.28F24D4D-EE80-4EDA-BC30-A194E22FD61C.svs	49c8c75531ce83edf509224da6601886	1561531797	released
58bb7ad0-8daf-49ee-9c35-b8e4a797f4ca	TCGA-D8-A1X7-01Z-00-DX2.F0631B8C-EB75-4995-8ED7-1A8972BE8997.svs	7fdd2ea39a4859fb5eb2e95e2cb1ef75	1557567115	released
9fe17387-8747-4540-b01e-2638c665ab8f	TCGA-EW-A1P5-01Z-00-DX1.B0D59A56-116E-48B3-BC90-237EA4B3F95B.svs	eac3fd387ac32c5a819d11709fb31490	1546154189	released
23e2ba74-3457-4f1a-8c12-ea00af16c49c	TCGA-A2-A0YT-01Z-00-DX1.63CA3E36-B3E4-4D3F-9F80-2703970DBE5B.svs	402a25f50563a0c426f5aa7868365267	1542549997	released
5032b8ff-1d90-4a03-a094-7bfcfca8bad0	TCGA-AR-A2LM-01Z-00-DX1.CB64A062-2E35-41F9-97C7-07BB60754799.svs	ead8a20141caad5abb16e6e41892529f	1540224583	released
01ed7393-c0a8-4958-9ad9-9beb47221a54	TCGA-AR-A24N-01Z-00-DX1.563E9160-9E09-4E3F-8CE9-FFED0AA52927.svs	cf5a45a88d555579b26de9aa3bed75ad	1532493585	released
8f6f7af5-28d7-42d0-8540-5eeb8d711701	TCGA-BH-A0H7-01Z-00-DX1.21502FEA-DB37-4630-BA42-778DDF3A6D17.svs	fe9b0cdf82f4b4e4602d69d41641330e	1524204899	released
e5069ea5-1011-46cf-9a3c-925825eeb81e	TCGA-A2-A0T5-01Z-00-DX1.128C288B-B357-439B-A8D4-8E7DEBF73E4E.svs	ff280136daf520a9ecb24ff85a6ea912	1522251735	released
c9eda175-ef25-49f1-beb1-3a8cb99c1f37	TCGA-E2-A15J-01Z-00-DX1.BF7901D1-30B1-4A76-B0A5-E9B8B36EF4C9.svs	6fc126625c25d2f196f3b80364d65e48	1516174763	released
fa83738a-c9f2-433e-9050-54d0e90e3092	TCGA-AR-A0TR-01Z-00-DX1.BBCE653F-7DD0-4830-BAD3-C06207A93853.svs	846f96a23aae57dc3edb771cd44f570a	1506890479	released
fd80aa45-9ccd-4b62-b5b9-28e476c89dc8	TCGA-BH-A1EN-01Z-00-DX1.F535657F-E2FA-4283-87AE-7DAB663B196B.svs	64f7091c4df40fcb0dfeeaf849ed88e0	1501442289	released
7b3d2ef5-0b8b-4b3e-8210-c77f8302e437	TCGA-E2-A15C-01Z-00-DX1.26E13415-1D37-43C7-9EBB-4411BE7FCE10.svs	91ef7f0de026664079fe0bc1f93ff18f	1495466959	released
b545c7e6-8318-47e1-8ed4-62a5883a1d1c	TCGA-BH-A0W4-01Z-00-DX1.23E017DC-15CB-4838-AC91-CFB11B932AB0.svs	63a867ca2a9227fcf73949abba92623c	1491220569	released
f9bf8afa-c7f3-42d0-b99a-52e6f4d048a9	TCGA-BH-A203-01Z-00-DX1.FAE40A13-0C4A-415F-9396-01041FF6B855.svs	e21b36e87843d58003ee6617216541ee	1490252151	released
7634b251-af06-4817-a185-106620ddd0bb	TCGA-E2-A572-01Z-00-DX1.7DDF1C25-58E2-4AF9-B831-598222A4E85D.svs	9b38e271f4dd702a304be2ae0ba9b923	1483548427	released
2ae908e6-e9a4-4d4e-a527-656c03b241a1	TCGA-AR-A1AT-01Z-00-DX1.6ED69002-2CC1-4AD4-9573-B245D7C2D060.svs	c4b404cacd461873eb9ea84f387a561e	1476667445	released
52767301-1f67-4c80-88de-a77f3a5ae1c1	TCGA-B6-A1KN-01Z-00-DX1.E769FD65-E5CE-4CA4-8BBE-6FC54A2ED870.svs	40bda794d6560e5b6fd04d713ee010c0	1470018345	released
2407e90a-d2a7-412d-97a5-62fedcece4ff	TCGA-B6-A0RL-01Z-00-DX1.B5B6709B-5F38-4561-A0E7-C78F97B33F22.svs	17d6a46eaa868e91896d0136724ad164	1458285671	released
531d9a9e-8db6-4f21-966c-3fb2a3e476ea	TCGA-E2-A1B5-01Z-00-DX1.AB19FF3D-5C42-4D49-ABEA-D2315709B6EA.svs	ea3f992a4d7d623bc30566afa0a00af8	1441854345	released
70ff19c8-4c49-410f-a109-17a3e844af09	TCGA-AN-A0AK-01Z-00-DX1.4B410152-8588-4000-870A-B31B21161015.svs	4c94fadffb4ea63f62085b3b50480dc4	1439245641	released
bf4c4578-c186-49b8-88ee-b9dea446c6c8	TCGA-OK-A5Q2-01Z-00-DX4.83B45D6C-E350-4436-812F-4155D9F7D331.svs	f34257a8d65607c639e7bad463e239ab	1436614819	released
bc676ee2-d0e4-48ef-9d1d-5a90e79b4fb2	TCGA-D8-A1XS-01Z-00-DX1.E5C78E5A-947C-499D-9E95-619FEEC63E69.svs	860e37b61b886c4a52b5d2ff3f2cc4fb	1427409965	released
